GP_CD,SYS_SUPP
P92038,TPP
Y04882,EMIS
B81009,TPP
B83022,TPP
C83001,TPP
E82031,EMIS
E85029,TPP
E85120,TPP
F81212,TPP
F82678,EMIS
F84008,EMIS
F84087,EMIS
F84685,EMIS
G82035,EMIS
G82110,EMIS
H81070,EMIS
H85634,EMIS
J81029,TPP
J82119,EMIS
K84026,EMIS
L81017,EMIS
L82016,EMIS
M82002,EMIS
M82034,EMIS
M84044,EMIS
M86007,EMIS
M88026,TPP
P81115,EMIS
P86004,EMIS
Y02463,TPP
Y02633,EMIS
A83006,TPP
A84044,TPP
C82047,TPP
C82098,TPP
C84005,TPP
C88025,TPP
E82005,TPP
E87061,TPP
F81020,TPP
F85028,EMIS
F81110,TPP
F81142,TPP
G82233,EMIS
H83627,EMIS
J82088,EMIS
K81015,CEGEDIM
L82046,TPP
M83640,EMIS
M85779,TPP
M91028,EMIS
N85008,EMIS
P87015,EMIS
Y02626,EMIS
B81099,TPP
B84013,EMIS
B86672,TPP
C81034,EMIS
C81056,TPP
C81057,TPP
C82027,TPP
C83020,TPP
C84032,TPP
C88038,TPP
E82081,TPP
E82104,TPP
E85096,TPP
F84122,EMIS
F86641,EMIS
G81047,TPP
G82107,EMIS
G82115,EMIS
G82652,EMIS
H82057,TPP
J81613,TPP
K84062,EMIS
L81070,TPP
L82015,TPP
L83077,TPP
L83111,EMIS
L84069,TPP
M81072,EMIS
M83627,TPP
M85146,EMIS
B81697,TPP
C82105,TPP
C83002,TPP
C88036,TPP
E81047,TPP
E82035,TPP
E85715,TPP
F81043,TPP
F81218,TPP
F82627,EMIS
F82677,EMIS
F84013,EMIS
F84660,EMIS
F86078,EMIS
F86691,EMIS
G82038,EMIS
H81039,EMIS
H81123,EMIS
H85114,EMIS
J83029,TPP
K81050,EMIS
K82032,TPP
L81069,TPP
L82011,TPP
L85044,EMIS
M81012,EMIS
M84020,EMIS
M85097,EMIS
M85177,EMIS
M86001,EMIS
M88006,EMIS
Y02586,EMIS
B81020,TPP
B81070,TPP
C81052,TPP
C82611,TPP
E81006,TPP
E84002,EMIS
F82680,TPP
F84666,EMIS
G81059,EMIS
G84035,EMIS
H82066,TPP
H85057,EMIS
J81046,TPP
J81074,TPP
J83007,TPP
J83053,TPP
K82051,EMIS
K84017,EMIS
L82070,EMIS
L85037,EMIS
M81617,EMIS
M83046,EMIS
M87036,EMIS
N81111,EMIS
N82097,EMIS
P81010,EMIS
P81033,EMIS
P81771,EMIS
P84690,EMIS
Y00351,TPP
Y02707,TPP
A87029,EMIS
B82619,TPP
C86009,TPP
D83028,TPP
E83037,EMIS
E84015,EMIS
E84040,EMIS
F81640,TPP
F85025,EMIS
F85060,EMIS
G81006,EMIS
G82140,EMIS
L81122,TPP
M81608,EMIS
M82043,EMIS
M86045,EMIS
M88639,TPP
N84014,EMIS
P81655,EMIS
P81740,EMIS
P82652,EMIS
P84663,EMIS
P92019,EMIS
Y00774,TPP
B81010,TPP
E84709,EMIS
E85716,TPP
E87067,TPP
F84009,EMIS
F84017,EMIS
G83647,EMIS
G85086,EMIS
H84023,CEGEDIM
H85022,EMIS
K82037,TPP
K83065,EMIS
L81082,EMIS
L82054,TPP
L83136,TPP
L84072,TPP
L84080,TPP
L85038,EMIS
M81024,EMIS
M91016,EMIS
Y05212,TPP
B81017,TPP
B81647,TPP
B85641,TPP
C81046,TPP
C81094,TPP
C81115,TPP
C83023,TPP
C83635,TPP
C88092,TPP
D82079,TPP
D83026,TPP
E81048,TPP
E85025,TPP
G81008,EMIS
G82120,EMIS
G84003,EMIS
H83007,EMIS
J82010,EMIS
N81082,EMIS
N81118,EMIS
N81614,EMIS
N83608,EMIS
P82633,EMIS
P84051,EMIS
P86007,EMIS
P89003,EMIS
P91003,EMIS
A83644,EMIS
B82066,TPP
C84605,TPP
C88028,EMIS
E81026,TPP
E81041,TPP
E82124,EMIS
E85012,TPP
E85099,TPP
E85108,TPP
E86034,EMIS
E87047,TPP
F81009,EMIS
G82744,EMIS
J83001,TPP
K81041,EMIS
M81046,EMIS
M84019,EMIS
M85642,EMIS
M85766,EMIS
M88619,TPP
N81006,EMIS
N84019,EMIS
P81018,EMIS
P82624,CEGEDIM
A81027,TPP
B81653,TPP
B87039,TPP
C84127,TPP
C85008,EMIS
D81606,TPP
D83009,TPP
E81046,TPP
E85123,TPP
F82021,EMIS
F86010,EMIS
F86030,EMIS
G81019,EMIS
G81055,EMIS
H84625,EMIS
J83005,TPP
L84038,EMIS
M81075,EMIS
M82008,EMIS
M83059,EMIS
N82073,EMIS
N85620,EMIS
P83010,EMIS
P88013,EMIS
P91016,EMIS
Y02045,EMIS
C83044,EMIS
A89010,EMIS
B86032,TPP
C85614,EMIS
C88009,TPP
C88027,TPP
D83022,TPP
E84070,EMIS
E86006,EMIS
F81007,TPP
G83010,EMIS
G85727,EMIS
F83678,EMIS
F85039,EMIS
G82184,EMIS
G83001,EMIS
G84020,EMIS
G84039,EMIS
H85069,EMIS
J83040,TPP
L82047,EMIS
M89019,TPP
N81089,TPP
N82103,EMIS
N83027,EMIS
P85612,EMIS
Y01221,TPP
A82647,EMIS
B81030,TPP
B81077,EMIS
C81067,TPP
C83061,TPP
C87016,TPP
D83062,TPP
E84004,EMIS
H81037,EMIS
F84060,EMIS
F85010,EMIS
G82775,EMIS
K82013,TPP
L81025,TPP
M81627,EMIS
M82022,EMIS
M87007,EMIS
Y02653,EMIS
Y05023,TPP
A86036,TPP
A89016,EMIS
B84019,TPP
C83022,TPP
C84113,TPP
C86023,EMIS
C88008,EMIS
D82011,TPP
E82084,EMIS
E84601,EMIS
E85744,TPP
G82048,EMIS
G85025,EMIS
G85125,EMIS
F84698,EMIS
G82037,EMIS
H81030,EMIS
H81122,EMIS
H82022,TPP
H84032,EMIS
H85066,EMIS
J82110,EMIS
J83035,TPP
K82039,TPP
K83023,TPP
K83041,TPP
L81050,EMIS
L81081,EMIS
L83020,TPP
M86612,EMIS
M87019,EMIS
N84013,EMIS
P84040,EMIS
P85622,EMIS
P89013,EMIS
P91006,EMIS
P91018,EMIS
P91623,EMIS
Y00999,TPP
B81007,TPP
B81052,TPP
B82021,TPP
B86048,TPP
C88655,EMIS
E81022,TPP
F81078,TPP
F81636,TPP
F84015,EMIS
F84081,EMIS
G82063,EMIS
H82039,TPP
H84031,EMIS
J81016,TPP
K82058,EMIS
K84025,EMIS
L81090,EMIS
L81118,EMIS
M81090,EMIS
M85634,EMIS
M91647,EMIS
N81052,EMIS
N82074,EMIS
P81065,EMIS
P81647,EMIS
P87648,EMIS
A84039,TPP
A89614,EMIS
B83624,TPP
B85655,TPP
C82020,TPP
C82042,EMIS
C82086,TPP
D83034,TPP
E85643,TPP
E86011,EMIS
F81015,TPP
F82670,EMIS
F83004,EMIS
G82741,EMIS
G83018,EMIS
G83630,EMIS
H82049,TPP
L81133,EMIS
M83103,EMIS
M83126,EMIS
M84031,EMIS
N81040,EMIS
P81160,EMIS
P82616,EMIS
Y00475,EMIS
Y02718,EMIS
A82629,EMIS
A89028,EMIS
B86081,EMIS
C81063,EMIS
C82670,TPP
C83029,TPP
C87015,TPP
E86619,EMIS
F85032,EMIS
J81009,TPP
J81612,TPP
K84071,EMIS
L83067,TPP
N81022,EMIS
N83017,EMIS
N83614,EMIS
P84630,EMIS
Y02646,TPP
Y02849,EMIS
A82608,EMIS
A88003,EMIS
B82046,EMIS
B82063,TPP
B82083,TPP
B83056,TPP
B85042,TPP
B86007,TPP
B86062,TPP
C82039,TPP
C84654,TPP
D81062,TPP
D82001,EMIS
D83608,TPP
E82037,EMIS
E85696,TPP
F81141,TPP
F81613,TPP
F83039,EMIS
F85705,EMIS
F86624,EMIS
G83006,EMIS
H81051,EMIS
H85007,EMIS
J81034,TPP
K82010,EMIS
K82059,TPP
K83003,TPP
L81019,EMIS
L82048,TPP
L83043,TPP
M86617,EMIS
M91018,EMIS
N82035,EMIS
Y00445,EMIS
A84047,TPP
B81675,TPP
B83035,TPP
B87008,TPP
C82096,TPP
C82103,TPP
C83004,TPP
D81022,TPP
D81027,EMIS
E85026,TPP
E86042,EMIS
F81113,TPP
H82041,EMIS
H83631,EMIS
M83028,EMIS
M83617,EMIS
M86009,EMIS
M92607,EMIS
N83609,EMIS
N85054,EMIS
P81067,EMIS
P91009,EMIS
E83622,EMIS
A84009,EMIS
B81061,TPP
B86041,TPP
B86094,TPP
B87002,TPP
B87036,TPP
C82059,TPP
C86611,TPP
C88060,TPP
D82073,TPP
E81632,TPP
F81003,TPP
G84630,EMIS
G85044,EMIS
L85042,EMIS
L85601,EMIS
M81034,EMIS
M83073,TPP
M84061,EMIS
N82117,EMIS
N85643,EMIS
Y02769,TPP
A86016,EMIS
A87030,EMIS
B81043,EMIS
B82060,TPP
C81604,TPP
C85003,TPP
D82003,TPP
D82621,EMIS
E82082,TPP
E85003,TPP
F81165,TPP
H82072,EMIS
J81022,TPP
L83069,TPP
N81070,EMIS
N82077,EMIS
N82082,EMIS
N83019,EMIS
Y02671,TPP
E83021,EMIS
B81004,EMIS
B81645,TPP
B81666,EMIS
B82034,TPP
B86093,TPP
C84103,TPP
F81696,TPP
F85069,EMIS
F84080,EMIS
G81018,TPP
G82666,EMIS
H85053,EMIS
J82040,EMIS
L83046,TPP
L83655,EMIS
L84081,TPP
M82032,EMIS
M83033,EMIS
M84616,EMIS
N81079,EMIS
P81013,EMIS
Y02606,EMIS
B82064,TPP
C84091,TPP
E85013,TPP
E85600,TPP
G85121,EMIS
H82004,TPP
J81012,TPP
J83010,TPP
K82045,EMIS
K83047,TPP
L81026,EMIS
M83107,EMIS
M84023,EMIS
M92043,EMIS
P81734,EMIS
P81741,EMIS
P87639,EMIS
Y00411,TPP
A81631,TPP
A82023,EMIS
A89623,EMIS
B81055,TPP
B82609,TPP
B85606,TPP
C84084,TPP
D81033,TPP
D82053,TPP
F81136,TPP
F81711,TPP
F83011,EMIS
G82719,EMIS
F82017,EMIS
F82019,EMIS
G85715,EMIS
H81090,EMIS
J82210,EMIS
K84066,EMIS
L85036,EMIS
M85118,EMIS
M86012,EMIS
P81061,EMIS
P81182,EMIS
P86016,EMIS
A82046,EMIS
A84035,TPP
B82025,TPP
B85636,TPP
C83045,TPP
C83643,TPP
E84647,EMIS
E86632,EMIS
G82231,EMIS
F82630,EMIS
F82649,EMIS
F86036,EMIS
G82232,EMIS
G82708,EMIS
H83015,EMIS
H85113,EMIS
H85116,EMIS
J81620,TPP
J82051,EMIS
K83009,TPP
M82031,EMIS
M83109,EMIS
M85065,EMIS
M86002,EMIS
N83054,EMIS
P81040,EMIS
P81731,EMIS
P84637,EMIS
Y00200,TPP
Y01964,EMIS
E83018,EMIS
A81017,TPP
A81040,EMIS
A84028,TPP
A86017,EMIS
A87004,EMIS
A89019,EMIS
B86043,TPP
C81086,TPP
C83039,EMIS
C84016,TPP
C84703,TPP
C87029,TPP
C88043,TPP
D82008,TPP
E82088,TPP
E85030,TPP
G82088,EMIS
G82126,EMIS
G82653,EMIS
H82064,TPP
H85002,EMIS
J84007,TPP
L85624,EMIS
M83641,EMIS
M84014,EMIS
M84066,EMIS
M85749,EMIS
M87024,EMIS
M88004,TPP
N82054,EMIS
P81711,EMIS
P87025,EMIS
A81629,TPP
A89035,EMIS
C82649,TPP
C84035,TPP
C85014,EMIS
C85619,TPP
D81070,TPP
D83064,TPP
F84123,EMIS
F84686,EMIS
F85071,EMIS
G82665,EMIS
G83030,EMIS
G83049,EMIS
H82028,TPP
J82019,EMIS
K83015,TPP
K84006,EMIS
L83019,EMIS
L85011,EMIS
M85014,EMIS
M85020,EMIS
M85098,EMIS
N81624,EMIS
P81622,EMIS
P88008,EMIS
B85612,TPP
B86056,TPP
B86058,TPP
C84009,TPP
D82032,TPP
E81024,TPP
E81073,TPP
F81065,TPP
F81086,TPP
F81707,TPP
H81061,EMIS
G81039,EMIS
G84016,EMIS
H82014,TPP
H82036,TPP
J81028,TPP
J83619,TPP
K83036,TPP
L83057,TPP
M83056,EMIS
M83682,EMIS
M84015,EMIS
M84029,EMIS
M85031,TPP
M85759,TPP
M87006,EMIS
N82014,EMIS
N83010,EMIS
N83045,EMIS
Y00206,EMIS
Y00403,EMIS
Y07020,EMIS
B82002,TPP
B83042,TPP
B86012,TPP
C81050,TPP
C81642,TPP
C81647,TPP
C86024,TPP
C87004,EMIS
C88018,TPP
D81010,TPP
D82100,TPP
E82009,EMIS
E85658,TPP
E85746,TPP
F84741,EMIS
G85002,EMIS
H83012,EMIS
H85055,EMIS
K81057,TPP
L83073,TPP
L83082,TPP
L85001,EMIS
M81001,EMIS
M81010,EMIS
M83066,TPP
P81724,EMIS
Y04968,EMIS
A82013,EMIS
A82025,EMIS
A83020,TPP
B81034,EMIS
C82003,TPP
C85622,EMIS
C88041,TPP
D81615,TPP
E82042,TPP
F81028,EMIS
F85023,EMIS
F83671,EMIS
G85673,EMIS
J82025,EMIS
K81103,EMIS
K84004,EMIS
M89016,TPP
M89017,EMIS
N81014,TPP
P84054,EMIS
A82010,EMIS
A87008,EMIS
B81100,TPP
C82007,TPP
C82671,TPP
C83025,TPP
C83650,TPP
C85020,EMIS
E81008,TPP
E82059,EMIS
E83650,EMIS
E85058,TPP
E86005,EMIS
E87762,TPP
F81019,EMIS
F81083,TPP
F81744,TPP
H85092,EMIS
J82034,EMIS
K81001,EMIS
L81073,TPP
L84033,TPP
M83661,EMIS
M85670,TPP
M86015,EMIS
M86020,EMIS
M89001,TPP
N84028,EMIS
P81157,EMIS
P84030,EMIS
P84067,EMIS
P92006,TPP
A81029,TPP
A83040,TPP
B83659,TPP
C81084,TPP
C84026,TPP
D81036,TPP
E87702,TPP
F81022,TPP
F81040,TPP
F83633,EMIS
G82203,EMIS
G85104,EMIS
J81064,TPP
L83143,TPP
M86627,EMIS
N81055,EMIS
P81029,EMIS
P84042,EMIS
P91017,EMIS
B81008,TPP
D82099,TPP
E84022,EMIS
E85034,TPP
E86018,EMIS
F85029,EMIS
G83628,EMIS
F84036,EMIS
G81023,EMIS
G81034,TPP
G81099,EMIS
G82808,EMIS
H81075,EMIS
H84018,EMIS
J81051,TPP
K84019,EMIS
L83646,TPP
M81076,EMIS
M81082,EMIS
M83670,EMIS
M91008,EMIS
Y02890,EMIS
A85016,EMIS
B85660,EMIS
B86667,TPP
C82644,TPP
C83032,TPP
D81038,TPP
E81060,TPP
E84048,EMIS
F81092,TPP
F81099,TPP
H81128,EMIS
G85024,EMIS
H83608,EMIS
J81648,TPP
J83041,TPP
K83601,TPP
L81089,EMIS
L83028,TPP
L85054,EMIS
M84008,EMIS
N81085,EMIS
N81115,EMIS
N84003,EMIS
N85629,EMIS
P81100,EMIS
P84033,EMIS
P91603,EMIS
A81057,TPP
A82008,EMIS
A86037,TPP
A89022,EMIS
B81069,TPP
B81104,TPP
D81047,TPP
D83038,TPP
E83049,EMIS
F81120,TPP
G82046,EMIS
G85023,EMIS
H81027,EMIS
J82146,EMIS
M84030,EMIS
M84629,EMIS
M85774,EMIS
N81087,EMIS
N81122,TPP
N82084,EMIS
P81154,EMIS
P84017,EMIS
P89006,EMIS
P92651,EMIS
Y02885,EMIS
A86007,EMIS
A88613,EMIS
C81638,TPP
C81658,TPP
C84018,TPP
D81008,TPP
G82114,EMIS
F81155,TPP
F84692,EMIS
F85058,EMIS
H84054,EMIS
J81083,TPP
J83016,TPP
L81130,EMIS
L85023,EMIS
M83031,EMIS
M92649,EMIS
N85002,EMIS
P81140,EMIS
P84028,EMIS
P89002,EMIS
B81108,TPP
B82044,TPP
D81612,EMIS
F83052,EMIS
F84747,EMIS
F86006,EMIS
H82065,EMIS
H83030,EMIS
J81062,TPP
J83014,TPP
M81066,EMIS
M83016,EMIS
M83030,EMIS
Y06113,EMIS
A81036,TPP
A81046,TPP
A81608,TPP
A84002,TPP
B81002,TPP
B81655,TPP
C82005,TPP
C87003,TPP
D83054,TPP
D83070,EMIS
F81091,EMIS
F81739,TPP
G85004,EMIS
G85623,EMIS
G84624,EMIS
G85632,EMIS
J81068,TPP
J82131,TPP
J82169,EMIS
K82617,TPP
L85065,EMIS
M83005,EMIS
M83036,EMIS
M83601,EMIS
N81127,EMIS
N82004,EMIS
N82066,EMIS
N82670,EMIS
P81053,EMIS
P81169,EMIS
P92002,EMIS
Y02567,TPP
Y02753,EMIS
B81048,TPP
B86669,TPP
C81037,TPP
C81071,TPP
C81615,EMIS
C88053,TPP
E81019,TPP
E83016,EMIS
E87024,TPP
H81046,EMIS
F82038,EMIS
F86074,TPP
G81049,EMIS
G81054,EMIS
G81689,TPP
G82143,EMIS
M82035,EMIS
M84063,EMIS
M85074,EMIS
M87020,EMIS
M87021,EMIS
N85020,EMIS
P81089,EMIS
Y02344,TPP
Y02674,EMIS
Y04266,TPP
A83044,TPP
A89024,EMIS
B82016,TPP
B87021,TPP
C81091,TPP
C84066,TPP
C84078,TPP
C84116,EMIS
C84129,TPP
C84693,EMIS
C87014,TPP
D81037,TPP
D81061,TPP
E82020,EMIS
E85005,TPP
E87011,TPP
F81128,TPP
F84035,EMIS
F84121,EMIS
G85120,EMIS
H81663,EMIS
H82027,TPP
K81092,EMIS
K84078,EMIS
L82056,TPP
L83070,TPP
N81031,EMIS
N81117,EMIS
P81737,EMIS
P86001,EMIS
P89007,TPP
Y01719,EMIS
Y02962,EMIS
Y07014,EMIS
A83011,EMIS
A84024,EMIS
A86028,TPP
A89020,EMIS
E81016,TPP
E84075,EMIS
E85008,TPP
E85075,TPP
E85726,TPP
F81001,TPP
F81034,EMIS
F81153,TPP
F83023,EMIS
F83615,EMIS
F82033,EMIS
F82051,EMIS
F83025,EMIS
F84642,EMIS
G82768,EMIS
H82042,TPP
H83023,EMIS
J82139,EMIS
J82161,EMIS
J83645,TPP
K81638,EMIS
K82073,EMIS
K84027,EMIS
M82048,EMIS
M84055,EMIS
M86033,EMIS
M91650,EMIS
M92007,EMIS
N81019,EMIS
N82049,EMIS
N84625,EMIS
Y00469,TPP
B83641,TPP
C83003,EMIS
C84613,TPP
D81065,TPP
E83009,EMIS
E84626,EMIS
E85064,TPP
F81132,TPP
J81056,TPP
J82071,EMIS
J82216,EMIS
K81018,EMIS
K82033,EMIS
L84023,TPP
M81015,EMIS
P84039,EMIS
A85002,EMIS
B87026,TPP
C88010,TPP
C88011,TPP
D82005,TPP
D82062,EMIS
D83012,TPP
E81076,TPP
E86629,EMIS
G82025,EMIS
F81125,TPP
F86700,EMIS
G82062,EMIS
G85134,EMIS
H82007,TPP
K81657,EMIS
K84013,EMIS
L85039,EMIS
M84059,EMIS
M84060,EMIS
M87025,EMIS
N81645,TPP
N83013,EMIS
P81036,EMIS
P81730,EMIS
A81019,TPP
A83034,TPP
A83036,TPP
C81006,TPP
C82019,TPP
C83015,TPP
C84692,EMIS
D82034,TPP
E82089,TPP
E84032,EMIS
E84078,EMIS
E87037,TPP
F82016,EMIS
F84025,EMIS
F84749,EMIS
G82226,EMIS
H81071,EMIS
J81010,TPP
K81068,EMIS
K81087,EMIS
K82011,EMIS
L83030,TPP
L85609,EMIS
M83049,EMIS
M83637,EMIS
M84009,EMIS
M87620,EMIS
M91024,EMIS
N82095,EMIS
Y01057,EMIS
Y02378,EMIS
Y05369,TPP
A81048,TPP
A82613,EMIS
B81038,EMIS
B81040,TPP
C84114,TPP
D83059,TPP
D83067,TPP
E81013,TPP
E85633,TPP
G85711,EMIS
H82009,EMIS
H83013,EMIS
J82080,EMIS
K83053,EMIS
L83051,TPP
M82012,EMIS
M85782,EMIS
M86030,EMIS
M88041,TPP
M91036,EMIS
N81077,EMIS
P81683,EMIS
P82015,TPP
A82620,EMIS
A85021,EMIS
C82010,TPP
C84085,EMIS
D83078,TPP
E82657,EMIS
E85083,TPP
E86626,EMIS
F81222,TPP
H81133,EMIS
F86731,EMIS
K81085,EMIS
K81656,EMIS
K84052,EMIS
N81607,EMIS
N82090,EMIS
N82099,EMIS
P81208,EMIS
P83024,EMIS
A83028,EMIS
A82654,EMIS
A86025,EMIS
B82100,TPP
B83018,TPP
B86623,TPP
C83019,TPP
C85033,EMIS
C88031,TPP
D81622,TPP
E81045,TPP
F81036,TPP
F85063,EMIS
G81032,EMIS
G82224,EMIS
G84604,EMIS
G85013,EMIS
H81641,EMIS
J81076,TPP
J81637,TPP
K81089,EMIS
M83146,EMIS
M85694,EMIS
P91631,EMIS
Y00185,TPP
B81658,TPP
B82033,TPP
B86658,TPP
C81048,TPP
C85019,EMIS
C87002,TPP
C87620,TPP
D81017,TPP
E85693,TPP
E87740,TPP
F81126,TPP
F84003,EMIS
G81007,EMIS
G81694,EMIS
H82043,TPP
J81035,TPP
J83039,TPP
L82068,EMIS
M84046,EMIS
M88620,EMIS
A82028,EMIS
A83022,TPP
B86060,TPP
C81040,TPP
C81041,TPP
C81064,TPP
C82024,TPP
D82106,TPP
D82618,TPP
D83074,TPP
E86014,EMIS
E87742,TPP
F81025,TPP
F82009,EMIS
F83059,EMIS
F85030,EMIS
F85666,EMIS
G82042,EMIS
G83631,EMIS
G85057,EMIS
H81015,EMIS
H81050,EMIS
J81609,TPP
K84065,EMIS
L81010,TPP
L81022,EMIS
L81034,EMIS
L81123,TPP
L82043,EMIS
M81091,EMIS
M83139,EMIS
Y00278,EMIS
Y03103,EMIS
Y04969,EMIS
Y06545,EMIS
A85009,EMIS
A85011,EMIS
B87004,TPP
B87013,TPP
D82047,TPP
E82048,EMIS
E82068,EMIS
E85649,TPP
F83673,EMIS
F81741,TPP
F84670,EMIS
F85043,EMIS
G82091,EMIS
G82604,EMIS
G85026,EMIS
J82122,TPP
L82620,EMIS
M81040,EMIS
M81078,EMIS
M85087,TPP
M88600,TPP
N82009,EMIS
N82078,EMIS
N84002,EMIS
N85047,EMIS
P81128,EMIS
P81184,EMIS
P84059,EMIS
Y02322,EMIS
Y04273,EMIS
Y05622,TPP
A84038,TPP
B86010,TPP
B86034,TPP
B86038,TPP
B86057,TPP
B86625,TPP
C88045,TPP
C88088,EMIS
E84699,EMIS
E85014,TPP
E85060,TPP
E86004,EMIS
G82041,EMIS
F84062,EMIS
F86044,EMIS
J82134,EMIS
J82138,EMIS
K82008,EMIS
L81040,EMIS
L82028,TPP
M81057,EMIS
M84043,EMIS
M85019,EMIS
M88031,EMIS
N83015,EMIS
N83030,EMIS
P81123,EMIS
P82012,EMIS
P83006,EMIS
B83016,TPP
B86035,TPP
B86096,TPP
C85001,TPP
D81001,TPP
D82004,TPP
E84681,EMIS
E85109,TPP
F82001,EMIS
G81014,EMIS
G81082,EMIS
G82162,EMIS
G84627,EMIS
H82052,EMIS
J82033,EMIS
J83018,TPP
K81644,EMIS
M81021,EMIS
M83698,EMIS
N83009,EMIS
A82024,EMIS
A87007,TPP
B86028,TPP
C84064,TPP
C84123,TPP
D81016,TPP
D82042,EMIS
F84093,EMIS
G83060,EMIS
G85015,EMIS
H82100,EMIS
H84048,EMIS
J82017,EMIS
J83006,EMIS
M84618,EMIS
M86610,EMIS
M87023,EMIS
B86025,TPP
C84025,TPP
C84087,TPP
E86015,EMIS
E87663,TPP
F81183,TPP
F85013,EMIS
F86023,EMIS
G84009,EMIS
H83053,EMIS
H85682,EMIS
J81003,TPP
J82129,EMIS
K83031,EMIS
M82606,EMIS
N82115,EMIS
N84615,EMIS
P91629,EMIS
A81065,TPP
B82019,TPP
B86016,TPP
C87616,TPP
D81041,TPP
E83657,EMIS
E84656,EMIS
G85129,EMIS
G82129,EMIS
J81019,TPP
J82079,EMIS
K81040,EMIS
K82054,TPP
L81600,EMIS
L84030,TPP
M85113,TPP
N81016,EMIS
N84021,EMIS
P81041,EMIS
Y00228,EMIS
B81029,EMIS
B82088,TPP
B83002,TPP
B85016,TPP
C86033,EMIS
D83081,TPP
E84653,EMIS
E87008,TPP
H81023,EMIS
H81029,EMIS
H83037,EMIS
H85112,EMIS
K83070,EMIS
M83697,EMIS
M85136,EMIS
N81086,EMIS
N84026,EMIS
P84022,EMIS
Y00265,EMIS
Y00560,TPP
Y01050,EMIS
A81016,TPP
A83010,TPP
B81026,TPP
B82091,TPP
B83617,TPP
B86050,TPP
C81083,TPP
C83051,TPP
C83056,TPP
C84136,EMIS
C85004,EMIS
E83027,EMIS
E83053,EMIS
H82003,EMIS
F86702,EMIS
G82796,EMIS
H81134,EMIS
H81642,EMIS
H85665,EMIS
J82208,TPP
J83042,TPP
K84058,EMIS
L82003,EMIS
M84013,EMIS
M85699,EMIS
N81066,EMIS
N85023,EMIS
P81185,EMIS
P82002,TPP
P85610,EMIS
P87657,EMIS
P88009,EMIS
P91035,EMIS
Y00020,EMIS
Y01280,EMIS
Y05286,TPP
B81087,TPP
B86643,TPP
C84629,TPP
E84011,EMIS
E84068,EMIS
E85023,TPP
F81106,TPP
H83024,EMIS
K81006,EMIS
K82067,TPP
K84056,EMIS
L82045,TPP
L84026,TPP
L84060,TPP
L85032,EMIS
M81018,EMIS
M81616,EMIS
M83075,EMIS
N82036,EMIS
P84026,EMIS
A88012,EMIS
B82007,TPP
B84014,TPP
C81022,TPP
C83031,TPP
C84029,TPP
E85656,TPP
F81144,TPP
F82018,EMIS
F83050,EMIS
F83064,EMIS
F84729,EMIS
G82679,EMIS
H82026,TPP
K83005,EMIS
L81042,EMIS
M82047,EMIS
M84042,EMIS
M85053,EMIS
M85060,TPP
M85600,EMIS
M86004,EMIS
P82022,EMIS
P84035,EMIS
P84072,EMIS
P87017,EMIS
P92634,EMIS
Y00996,EMIS
Y03597,EMIS
A84011,EMIS
B82010,TPP
C82119,TPP
C88052,TPP
D82078,TPP
E84074,EMIS
E84645,EMIS
E85736,TPP
F81089,TPP
F81186,TPP
G83009,EMIS
F85033,EMIS
F86004,TPP
G82014,EMIS
G82105,EMIS
G82605,EMIS
H81130,EMIS
L81632,EMIS
L83085,EMIS
M83050,EMIS
M84062,EMIS
P85022,EMIS
P92646,EMIS
Y00471,EMIS
B81119,TPP
B83052,TPP
B86067,TPP
C82034,EMIS
C82041,TPP
C83036,EMIS
C83057,TPP
C84069,TPP
C86001,TPP
F81619,TPP
F86020,EMIS
G82089,EMIS
G82164,EMIS
G84024,EMIS
J81013,TPP
J81078,TPP
J82207,EMIS
K81046,EMIS
L83041,TPP
M81047,EMIS
M81604,EMIS
M85002,TPP
N81009,EMIS
P88003,EMIS
A89036,EMIS
C87006,TPP
C88040,TPP
E82015,EMIS
G82079,EMIS
G81071,EMIS
G85076,EMIS
H81129,EMIS
H84055,EMIS
M85722,CEGEDIM
M86016,EMIS
M87617,EMIS
Y02476,EMIS
A86030,TPP
B85634,TPP
B85640,TPP
C82078,TPP
C82080,TPP
C83062,TPP
C83067,TPP
D81081,TPP
E85708,TPP
E86012,EMIS
F81046,TPP
F84714,EMIS
G82139,EMIS
G84004,EMIS
H83033,EMIS
H85691,EMIS
J82132,EMIS
K83010,TPP
L82036,EMIS
L82044,EMIS
M81056,EMIS
M82038,EMIS
M84006,EMIS
M85051,EMIS
M87003,EMIS
M92044,EMIS
N82050,EMIS
P88615,EMIS
A82018,EMIS
C82116,TPP
C83013,TPP
C88022,TPP
D83013,TPP
D83049,TPP
E81021,TPP
E82111,TPP
E87066,TPP
F81104,TPP
G81048,EMIS
G82016,EMIS
H84042,EMIS
H85027,EMIS
J83004,TPP
L84068,TPP
M84620,EMIS
M85025,EMIS
N83637,EMIS
Y02676,EMIS
A81026,TPP
A81067,TPP
A82022,EMIS
A85007,EMIS
B86015,TPP
C81007,TPP
C86616,TPP
E84006,EMIS
E85088,TPP
E85090,TPP
E87002,TPP
H81089,EMIS
G85736,EMIS
J82101,EMIS
K84605,EMIS
L81643,EMIS
L83056,TPP
M84032,EMIS
M85034,TPP
N82011,EMIS
P81692,EMIS
Y05733,TPP
A88004,EMIS
B82049,TPP
C82100,TPP
